labels	start	end	words
B-Protein	0	4	TACI
O	5	12	induces
B-Protein	13	18	cIAP1
O	18	19	-
B-Catalysis	19	27	mediated
B-Ubiquitination	28	42	ubiquitination
O	43	45	of
B-Protein	46	49	NIK
O	50	52	by
B-Protein	53	58	TRAF2
O	59	62	and
B-Protein	63	67	TANK
O	68	70	to
O	71	76	limit
O	77	80	non
O	80	81	-
O	81	90	canonical
O	91	93	NF
O	93	94	-
O	94	100	kappaB
O	101	110	signaling
O	110	111	.

B-Protein	113	114	B
I-Protein	114	115	-
I-Protein	115	119	cell
I-Protein	119	120	-
I-Protein	120	130	activating
I-Protein	131	137	factor
O	138	140	of
O	141	144	the
O	145	148	TNF
O	149	155	family
O	156	157	(
B-Protein	157	161	BAFF
O	161	162	)
O	163	165	is
O	166	167	a
O	168	176	critical
O	177	183	factor
O	184	187	for
O	188	189	B
O	189	190	-
O	190	194	cell
O	195	203	survival
O	204	207	and
O	208	218	maturation
O	219	226	through
O	227	230	non
O	230	231	-
O	231	240	canonical
O	241	248	nuclear
O	249	255	factor
O	256	262	kappaB
O	263	264	(
O	264	266	NF
O	266	267	-
O	267	273	kappaB
O	273	274	)
O	275	282	pathway
O	282	283	,
O	284	285	a
B-Protein	286	288	NF
I-Protein	288	289	-
I-Protein	289	295	kappaB
I-Protein	296	304	inducing
I-Protein	305	311	kinase
O	312	313	(
B-Protein	313	316	NIK
O	316	317	)
O	317	318	-
O	318	327	dependent
O	328	335	pathway
O	336	339	for
O	340	343	the
O	344	354	processing
O	355	357	of
B-Protein	358	360	NF
I-Protein	360	361	-
I-Protein	361	368	kappaB2
I-Protein	369	373	p100
O	374	376	to
O	377	385	generate
B-Protein	386	389	p52
O	389	390	.

O	391	396	While
B-Protein	397	401	BAFF
O	402	406	acts
O	407	416	primarily
O	417	424	through
B-Protein	425	429	BAFF
I-Protein	430	438	receptor
O	439	440	(
B-Protein	440	444	BAFF
I-Protein	444	445	-
I-Protein	445	446	R
O	446	447	)
O	447	448	,
O	449	452	the
B-Protein	453	466	transmembrane
I-Protein	467	476	activator
I-Protein	477	480	and
I-Protein	481	485	CAML
I-Protein	486	496	interactor
O	497	498	(
B-Protein	498	502	TACI
O	502	503	)
O	503	504	,
O	505	508	the
O	509	514	other
O	515	523	receptor
O	524	527	for
B-Protein	528	532	BAFF
O	532	533	,
O	534	536	is
O	537	544	thought
O	545	547	to
O	548	553	serve
O	554	556	as
O	557	558	a
O	559	567	negative
O	568	577	regulator
O	578	581	for
O	582	583	B
O	583	584	-
O	584	588	cell
O	589	598	responses
O	598	599	.

O	600	607	However
O	607	608	,
O	609	612	how
B-Protein	613	617	TACI
O	618	627	regulates
B-Protein	628	630	NF
I-Protein	630	631	-
I-Protein	631	638	kappaB2
O	639	647	activity
O	648	650	is
O	651	658	largely
O	659	666	unknown
O	666	667	.

O	668	670	In
O	671	675	this
O	676	681	study
O	681	682	,
O	683	685	we
O	686	692	showed
O	693	697	that
O	698	710	constitutive
O	711	721	activation
O	722	724	of
B-Protein	725	729	TACI
O	730	739	signaling
O	740	750	suppressed
B-Protein	751	755	BAFF
I-Protein	755	756	-
I-Protein	756	757	R
O	757	758	-
O	758	766	mediated
B-Protein	767	769	NF
I-Protein	769	770	-
I-Protein	770	777	kappaB2
I-Protein	778	782	p100
O	783	793	processing
O	794	798	with
O	799	802	the
O	803	805	up
O	805	806	-
O	806	816	regulation
O	817	819	of
B-Protein	820	828	cellular
I-Protein	829	839	inhibitors
I-Protein	840	842	of
I-Protein	843	852	apoptosis
I-Protein	853	854	1
O	855	856	(
B-Protein	856	861	cIAP1
O	861	862	)
O	863	866	and
B-Protein	867	870	TNF
I-Protein	871	879	receptor
I-Protein	880	890	associated
I-Protein	891	897	factor
I-Protein	898	899	(
I-Protein	899	903	TRAF
I-Protein	903	904	)
I-Protein	904	905	-
I-Protein	905	915	associated
I-Protein	916	918	NF
I-Protein	918	919	-
I-Protein	919	925	kappaB
I-Protein	926	935	activator
O	936	937	(
B-Protein	937	941	TANK
O	941	942	)
O	942	943	.

O	944	947	The
O	948	962	ubiquitination
O	963	965	of
B-Protein	966	969	NIK
O	970	972	by
B-Protein	973	978	cIAP1
O	979	982	was
O	983	992	inhibited
O	993	995	by
O	996	999	the
O	1000	1010	expression
O	1011	1013	of
B-Protein	1014	1019	TRAF2
O	1020	1024	with
O	1025	1033	physical
O	1034	1041	binding
O	1042	1044	to
B-Protein	1045	1050	cIAP1
O	1050	1051	.

B-Protein	1052	1056	TANK
O	1057	1067	deficiency
O	1068	1070	by
O	1071	1076	small
O	1077	1088	interfering
O	1089	1092	RNA
O	1093	1094	(
O	1094	1099	siRNA
O	1099	1100	)
O	1101	1109	impaired
B-Protein	1110	1114	TACI
O	1114	1115	-
O	1115	1124	dependent
O	1125	1135	inhibition
O	1136	1138	of
B-Protein	1139	1141	NF
I-Protein	1141	1142	-
I-Protein	1142	1149	kappaB2
I-Protein	1150	1154	p100
O	1155	1165	processing
O	1165	1166	.

B-Protein	1167	1171	TANK
O	1172	1176	also
O	1177	1186	inhibited
B-Protein	1187	1192	TRAF2
O	1192	1193	-
O	1193	1201	mediated
B-Protein	1202	1207	cIAP1
O	1208	1220	inactivation
O	1220	1221	.

O	1222	1230	Moreover
O	1230	1231	,
O	1232	1235	the
O	1236	1247	recruitment
O	1248	1250	of
B-Protein	1251	1256	TRAF2
O	1257	1259	to
B-Protein	1260	1264	TACI
O	1265	1272	induced
O	1273	1276	the
B-Ubiquitination	1277	1291	ubiquitination
O	1292	1294	of
B-Protein	1295	1298	NIK
O	1298	1299	.

O	1300	1305	Taken
O	1306	1314	together
O	1314	1315	,
O	1316	1319	the
O	1320	1330	regulation
O	1331	1333	of
B-Protein	1334	1337	NIK
O	1338	1340	by
B-Protein	1341	1345	TACI
O	1346	1353	through
O	1354	1357	the
O	1358	1369	interaction
O	1370	1372	of
B-Protein	1373	1377	TANK
O	1377	1378	/
B-Protein	1378	1383	TRAF2
O	1383	1384	/
B-Protein	1384	1389	cIAP1
O	1390	1395	plays
O	1396	1397	a
O	1398	1405	pivotal
O	1406	1410	role
O	1411	1413	in
O	1414	1417	the
O	1418	1429	suppression
O	1430	1432	of
O	1433	1436	non
O	1436	1437	-
O	1437	1446	canonical
O	1447	1449	NF
O	1449	1450	-
O	1450	1456	kappaB
O	1457	1466	signaling
O	1466	1467	.
