words,labels
"['Enzymatic', 'characteristics', 'of', 'recombinant', 'medium', 'isozyme', 'of', '2', ""'"", '-', '5', ""'"", 'oligoadenylate', 'synthetase', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['P69', 'is', 'an', 'isozyme', 'of', 'the', 'medium', 'size', 'class', 'of', 'human', '2', ""'"", '-', '5', ""'"", 'oligoadenylate', 'synthetases', '.']","['B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'this', 'study', ',', 'recombinant', 'P69', 'was', 'expressed', 'and', 'used', 'for', 'enzymological', 'and', 'structural', 'investigations', '.']","['O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Bacterially', 'expressed', 'P69', 'was', 'inactive', 'whereas', 'the', 'same', 'protein', 'expressed', 'in', 'insect', 'cells', 'was', 'highly', 'active', '.']","['O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Whether', 'this', 'difference', 'could', 'be', 'due', 'to', 'differential', 'post', '-', 'translational', 'modifications', 'of', 'the', 'protein', 'was', 'investigated', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mutations', 'of', 'appropriate', 'residues', 'showed', 'that', 'myristoylation', 'of', 'the', 'protein', 'was', 'not', 'necessary', 'for', 'enzyme', 'activity', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'contrast', ',', 'inhibition', 'of', 'glycosylation', 'of', 'P69', ',', 'by', 'tunicamycin', 'treatment', 'of', 'the', 'insect', 'cells', ',', 'produced', 'an', 'enzymatically', 'inactive', 'protein', '.']","['O', 'O', 'O', 'O', 'O', 'B-Glycosylation', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Recombinant', 'P69', 'produced', 'in', 'insect', 'cells', 'was', 'purified', 'by', 'affinity', 'chromatography', '.']","['O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'was', 'a', 'dimeric', 'glycoprotein', ',', 'very', 'stable', 'and', 'completely', 'dependent', 'on', 'double', 'stranded', '(', 'ds', ')', 'RNA', 'for', 'activity', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'enzyme', 'catalyzed', 'the', 'non', '-', 'processive', 'synthesis', 'of', '2', ""'"", '-', '5', ""'"", '-', 'linked', 'oligoadenylate', 'products', 'containing', 'up', 'to', '30', 'residues', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['2', ""'"", '-', 'O', '-', 'Methylated', 'dsRNA', 'was', 'incapable', 'of', 'activating', 'P69', 'and', 'a', '25', '-', 'base', 'pair', 'dsRNA', 'was', 'as', 'effective', 'as', 'larger', 'dsRNA', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'expression', 'system', 'will', 'be', 'useful', 'for', 'large', 'scale', 'production', 'of', 'P69', 'and', 'its', 'mutants', 'for', 'structural', 'studies', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
